node,pol,inc,abor,homo,male0fem1
51470,1,1,2,3,0
14106,1,1,2,3,0
25323,1,1,2,3,1
92782,1,1,2,3,1
82060,1,1,3,3,0
71518,1,1,2,1,0
20905,2,1,3,2,1
35227,3,1,2,3,0
31583,1,1,2,3,1
73175,2,2,2,1,0
83184,2,1,2,1,0
65591,3,2,2,1,0
49597,3,1,2,1,0
96600,2,1,3,3,1
44956,2,2,2,3,1
85596,1,1,3,3,1
66052,3,1,1,1,1
17041,1,2,2,3,0
46654,3,2,2,3,1
16313,1,1,3,3,0
44947,1,1,2,3,0
61280,1,2,2,3,0
19066,1,1,3,3,1
52067,3,2,2,3,0
32100,3,2,2,3,0
94652,1,2,3,3,0
33094,3,3,2,1,1
77023,2,2,2,3,1
59367,3,3,1,1,1
65102,3,2,3,2,0
63188,3,1,3,3,0
45000,1,1,3,3,1
51102,3,1,3,2,1
72700,3,2,2,1,0
44520,3,2,1,1,1
39122,2,1,3,2,1
51552,1,3,1,1,0
78638,1,1,2,3,1
40629,1,1,3,1,0
13116,3,2,1,3,0
78091,1,1,2,3,0
24760,1,1,3,3,0
46160,1,1,3,3,1
14188,3,2,1,1,1
36951,2,1,1,2,0
47230,1,1,3,3,1
32174,3,2,2,3,0
71627,1,2,3,2,1
45292,3,3,1,1,1
51597,1,3,2,3,0
48187,2,1,2,1,1
83568,1,1,3,1,0
60830,1,1,2,2,1
34250,1,1,2,3,0
66754,2,1,2,2,0
24543,1,1,1,3,1
55464,3,3,2,1,0
10353,1,1,2,3,0
26127,1,3,3,3,1
10841,2,2,3,3,1
25171,1,1,3,3,0
74916,1,1,3,1,1
80193,1,1,3,3,1
38927,1,1,1,1,1
53275,3,2,2,1,0
84625,3,1,1,1,1
22931,1,1,3,3,1
40557,1,1,2,1,1
46771,1,3,2,1,0
62560,1,1,2,3,1
58168,3,3,1,1,0
15723,1,1,2,1,0
30076,2,1,2,3,0
52615,3,1,1,2,1
63063,2,2,2,1,0
68633,2,1,3,3,1
13799,1,1,3,3,1
52635,3,1,2,1,0
51675,2,1,3,3,1
93944,1,2,2,3,1
91257,1,1,3,2,0
41393,1,1,2,1,0
16495,3,1,2,1,1
36143,1,1,3,3,0
50947,1,3,2,1,1
37617,1,1,3,3,1
53884,1,1,3,3,0
21350,3,1,1,1,1
86352,2,1,2,3,0
75466,3,2,2,1,1
10281,1,1,2,3,0
62555,3,2,1,1,0
57637,1,2,2,1,0
11360,3,1,1,1,0
84215,3,1,2,1,1
66245,3,2,3,1,1
75468,2,1,2,1,0
76313,3,2,2,1,0
18420,3,1,1,1,0
15071,3,1,1,1,0
78911,1,1,2,1,1
55594,3,1,2,3,0
68533,1,2,2,3,0
96362,3,1,1,1,1
49294,1,1,3,3,0
15548,3,1,1,1,1
23040,3,1,1,1,1
18707,1,2,2,2,0
69669,2,1,1,3,1
44167,3,3,1,1,1
69065,2,1,3,2,0
63817,2,1,2,3,0
64772,3,3,2,2,1
23642,1,2,3,3,1
45945,1,1,2,3,0
18394,3,1,3,3,1
11692,3,1,2,3,0
68494,1,2,3,3,1
51722,2,3,3,1,1
26999,2,1,2,3,0
25544,1,1,3,3,1
13882,3,1,2,2,0
22540,1,3,2,1,0
13896,2,1,2,1,1
66404,1,2,3,3,0
78966,1,2,3,1,0
88175,1,3,2,3,1
71187,3,1,1,2,0
60482,3,1,2,1,0
80058,3,2,3,1,0
18344,2,3,2,2,1
86727,1,1,3,3,0
99338,2,1,3,3,0
84841,1,2,3,3,1
50869,1,2,3,3,0
63757,2,1,3,3,1
40877,1,1,1,1,0
86237,3,1,2,1,0
88133,3,1,1,1,1
22617,3,1,3,1,1
40997,1,1,3,3,0
25494,1,1,1,3,0
28831,1,2,3,3,0
95426,3,1,1,1,0
77824,1,1,2,3,0
10060,1,2,2,3,1
17353,1,2,3,2,1
29914,3,1,2,1,0
36006,1,1,3,3,0
77291,3,1,2,1,1
23144,1,1,2,3,0
52441,1,1,3,3,1
26425,1,1,3,3,0
32899,2,2,3,2,0
86009,1,2,3,3,0
48429,3,2,1,1,0
30952,1,1,2,2,1
78062,3,1,2,1,0
97942,1,1,2,3,0
45539,1,2,3,3,0
46021,2,1,2,1,0
39701,1,2,3,3,0
70889,3,2,2,1,1
73303,2,1,2,3,0
14962,3,1,2,1,1
89827,3,2,1,1,0
85970,1,3,3,1,1
75178,1,1,2,1,1
38901,1,2,3,2,1
71700,1,2,3,3,1
38893,1,3,2,3,1
58909,2,1,3,3,1
34853,1,1,1,1,0
72746,1,1,1,1,0
24853,2,1,3,1,1
71782,1,1,2,3,0
57896,1,1,3,2,1
52923,2,1,2,2,1
50181,2,2,2,3,0
25947,1,1,3,1,0
19844,1,1,2,2,0
46584,3,1,2,1,1
86610,2,1,2,3,1
31372,1,1,2,1,0
48990,1,1,2,3,0
22745,3,3,1,1,1
84472,1,1,3,3,0
79877,3,3,1,1,0
11023,2,2,2,1,1
82282,3,3,2,1,1
39783,1,1,3,3,1
66991,2,1,3,3,1
50709,3,1,2,1,1
65526,1,1,3,3,1
75261,3,1,2,1,1
38823,1,1,3,3,0
39253,2,1,2,3,1
67947,1,1,3,3,0
52385,1,1,1,1,0
